pred_label,term,doc_cnt
인공지능,인공,322
인공지능,지능,322
인공지능,있다,281
인공지능,위하다,250
인공지능,대하다,248
인공지능,연구,238
인공지능,기술,208
인공지능,통하다,190
인공지능,결과,168
인공지능,하다,152
인공지능,필요,149
인공지능,따르다,137
인공지능,분석하다,133
인공지능,활용하다,132
인공지능,활용,131
인공지능,가능,128
인공지능,문제,125
인공지능,과정,116
인공지능,다양,115
인공지능,교육,114
일반 연구,있다,56
일반 연구,연구,54
일반 연구,대하다,42
일반 연구,기술,39
일반 연구,위하다,39
일반 연구,통하다,36
일반 연구,결과,32
일반 연구,분석하다,31
일반 연구,지능,31
일반 연구,다양,29
일반 연구,인공,29
일반 연구,활용하다,29
일반 연구,분석,26
일반 연구,교육,25
일반 연구,하다,25
일반 연구,가능,24
일반 연구,과정,24
일반 연구,활용,23
일반 연구,문제,21
일반 연구,필요,21
